xid,Project Name,Builder Name,Project Address,Property Type,Amenities,Amentity_count,rera_no,Project Area,Project Size-Tower Count,Project Size-Unit Count,Configs,Unit range
r409107,Veena Suyog,Veena Developers,"S.V. Road, Opp. N.L. High School, Next to Sapna Hotel, Malad (West), Mumbai - 400064",Residential - Apartments,"Rock Climbing Wall,Indoor Games,Gymnasium,Senior Citizen Sitout,Barbecue,Children's Play Area,EV Charging Stations,Intercom Facilities,Fire Fighting Systems,24x7 Security,Acupressure Park",11,P51800050707,Not found,Not found,Not found,"1BHK,2BHK,3BHK",421~923 sq.ft
r409144,JOY 33,Ganesha Construction,"Plot No 33E, Sector-25A, Ulwe, Navi Mumbai 410 206",Residential - Apartments,"Earthquake Resistant,24x7 Security,Lift(s)",3,P52000028088,Not found,Not found,Not found,"1BHK,2BHK",None
r410145,Hill Stone,Mahaveer Group,Mylasandra South Bangalore,Residential - Plots,"Gated Community,Rain Water Harvesting,Sewage Treatment Plant,Children's Play Area,Multipurpose Court",5,Not found,5 acres,Not found,Not found,None,1100~2600 Sqft
r410918,MANNAT CIDADE VISTA,Mannat Infra,"BESIDE KAMAT GARDEN, MAPUSA - Goa 403507",Residential - Apartments,"Earthquake Resistant,Gymnasium,Jogging Track,EV Charging Stations",4,Not found,Not found,Not found,Not found,None,None
r411519,HSK Urban Living,HSK Developers,"Sy. No. 64/3A, Hebbagodi, Electronic City Phase 2 Bengaluru 560 099",Residential - Apartments,"Gated Community,Vastu Compliant,Co-Working Spaces,Carrom,Chess,Pool Table,Foosball,Air Hockey,Cricket Pitch,Table Tennis,Badminton Court,Gymnasium,Yoga/Meditation Area,Landscape Garden,Park,EV Charging Stations,Car Parking,Club House,Multipurpose Hall,Children's Play Area,Sand Pit,Swimming Pool,Jogging Track,Mini Theatre,Indoor Games,24x7 Security,Intercom Facilities,Lift(s),24/7 Power Backup,Rain Water Harvesting,Sewage Treatment Plant,24/7 Water Supply,Fire Fighting Systems,CCTV Camera Security,Society Office",37,PRM/KA/RERA/1251/310/PR/060623/005974,Not found,3,160,"1.5BHK,2BHK,2.5BHK,3BHK",975~1275 sq.ft
r411990,????? Enclave,Shivam Buildcon,"Aatharv Enclave, Near Giriraj Hotel, NH8, Kapurai Chokdi, Vadodara-390004.","Residential - Apartments, Residential - Penthouses, Commercial - Retail spaces","Children's Play Area,Car Parking,24x7 Water Supply,CCTV Camera Security,24x7 Security,Terrace Garden,Swimming Pool,Gymnasium",8,Not found,Not found,Not found,Not found,"3BHK,Penthouses,Shops",300.00~2093.00 sq.ft
r412143,RPN VRINDAVANA,RPN CONSTRUCTIONS PRIVATE LIMITED,"Old #56/A, New #38/A, Kalaimagal Nagar, 2nd Main Road
Ekkaduthangal, Chennai - 600032",Residential - Apartments,"Vastu Compliant,Car Parking,Children's Play Area,Multi Purpose Hall,24x7 Security,Senior Citizen Sitout",6,TN/29/Building/0247/2023,Not found,Not found,30,"2 BHK,3 BHK",405~1595.4 sq ft
r412146,SRI KRISHNA KUTEERA,YD Constructions and Chayadeep Group,Peresandra Village,Residential - Farm House,"School,Temple,Children's Play Area,Walking & Cycling Track,Park for Senior Citizens,Landscaped Garden,24x7 Security,Club House,Concrete Roads,Electricity and LED Street Lights",10,Not found,Not found,Not found,Not found,None,None
r412160,Ashish ANR Row House,Aashish Developer & Builders,"Thubarahalli near Marathahalli and Whitefield, Bengaluru",Residential - Townhouses,"Children's Play Area,Swimming Pool,Gymnasium,Party Hall,Indoor Games,Rain Water Harvesting,Solar Hot Water System,Intercom",8,PRM/KA/RERA/1251/446/PR/300623/006026,Not found,Not found,Not found,4 BHK,2861~8896 sq.ft
r412190,PRIME ENCLAVE,Swayam Krushi Infra Projects,Brahmanapally (V) Bibinagar (M) Yadadri-Bhuvanagiri District,Residential - Plots,"Gated Community,Park,Children's Play Area,24 hours security",4,P02000006242,Not found,Not found,Not found,None,None
r413174,Vaasavi Brundavanam III,Jai Santoshi Mata Realtors,@ MEDIPALLY,Residential - Apartments,"Gated Community,Vastu Compliant,Creche/Day care,Community Hall,Pet Park,Cricket Pitch,Badminton Court,Jogging Track,Club House,Children's Play Area,Swimming Pool,Indoor Games,CCTV Camera Security,24x7 Security,Intercom,Rain Water Harvesting,Gymnasium,Party Lawn,Amphitheatre,Salon,Grocery Shop",22,TS RERA,2.3 acres,6,Not found,"2 BHK,3 BHK,4 BHK",1079~2709 sq.ft
r413269,Castillo,Alamo XS Real,"Siruseri, Chennai",Residential - Villas,"Gated Community,Paved Compound,Cricket Pitch,Basketball Court,Skating Rink,Badminton Court,Fountain,Gazebo,Jogging Track,Children's Play Area,Swimming Pool,Gymnasium,Creche/Day care",14,Not found,1.5 acres,Not found,Not found,None,None
r413323,Sarmita Tower,sukhoneer Housing,Not found,Residential - Apartments,Lift(s),1,Not found,Not found,Not found,Not found,"2 BHK,3 BHK,1 BHK",418~1397 sq.ft
r413383,VRAJ WIND SPACE,Krrish Group,"Near Hotel Sai Palace, Mumbai-Agra Road, Nashik.",Residential - Apartments & Commercial - Retail spaces,"CCTV Camera Security,24x7 Security,Senior Citizen Sitout,Children's Play Area,Gymnasium,Lift(s)",6,P51600049738,Not found,1,Not found,"2BHK,3BHK",1162~1779 sq.ft
r413422,Cyber Nest,JASWITHA CONSTRUCTIONS,KONDAPUR,Residential - Apartments,"Lift(s),Car Parking",2,Not found,Not found,Not found,Not found,"2BHK,3BHK",1140~1890 sq.ft
r414357,Sai Vishwa Residency,Om Sai Buildcon,"Kathe Lane, Dwarka, Nashik.",Residential - Apartments,"Earthquake Resistant,Temple,Yoga/Meditation Area,Gazebo,Children's Play Area,Terrace Garden,Solar Panel,CCTV Camera Security,24x7 Security,Intercom,Lift(s),24/7 Power Backup,Rain Water Harvesting,Club House,Gated Community,Swimming Pool,Landscape Garden,Amphitheatre,Sit Out Area,Paved Compound,Vastu Compliant,Internal Street Lights,Party Lawn,Car Parking,Gymnasium,Wi-Fi Connectivity,Garbage Disposal,Power Back up Lift,Fire Fighting Systems,Solar Lighting,Open Space,Pergola",33,P16000048141,Not found,Not found,Not found,"2 BHK,3 BHK,Penthouses",None
r414843,VASAVI ENCLAVE,MANJUSHREE LAND DEVELOPERS & CONSTRUCTIONS,Off K.R. Puram,Residential - Villa Plots,"24x7 Security,Gated Community,Internal Street Lights",3,Not found,6 ACRES,Not found,149,None,None
r415452,Shree Siddheshwar HELENIUM,NYALKARAN GROUP,"B/h Rudra Enclave, Near Chhani Lake, Chhani, Vadodara","Residential - Apartments, Residential - Penthouses, Commercial - Retail spaces","Gated Community,Car Parking,Club House,Children's Play Area,Swimming Pool,24x7 Security,Gymnasium,Landscape Garden,Jogging Track,Security Cabin",10,RERA/9071,Not found,6,582,"2BHK,3BHK,Penthouses",744.00~1160.00 sq. ft
r415652,Muthoot Homez Sasthamangalam,Muthoot Pappachan,"STN Chambers, Vazhuthacaud, Trivandrum, Kerala",Residential - Apartments,"Car Parking,Lift(s),Gymnasium",3,Not found,Not found,Not found,Not found,"3BHK,2 BHK,Penthouse",1493~3675 sq ft
r415952,Shree Siddheshwar Happylife,Nyalkaran Group,"Shree Siddheshwar HappyLife,
Opp. Safal Icon, Nr. Surya Dashan Township,
Manjalpur, Vadodara.","Commercial - Retail spaces, Residential - Apartments, Residential - Penthouses, Commercial - Shops","Earthquake Resistant,Security Cabin,Landscape Garden,Club House,Jogging Track,Children's Play Area,Swimming Pool,Gazebo,Indoor Games,Car Parking,24x7 Security,CCTV Camera Security,Rain Water Harvesting,Solar Panel,Gymnasium,Library,Gated Community,Video Door Security,DG Availability",20,Not found,Not found,Not found,Not found,"3BHK,4BHK,Penthouses",1106~1327 sq. ft.
r416791,VGN PARADISE,VGN,WIMCO NAGAR,Residential - Plots & Villas,"Gated Community,Paved Compound,Internal Street Lights,School,Club House,Children's Play Area,24x7 Security",7,TN/29/Layout/3493/2023,Not found,Not found,260,3 BHK,519~2114 sq.ft
r417280,Sophia Aspire,Sophia Builders,"Kaninadu, 8 km away from Kakkanad, Kerala",Residential - Villas,"Gated Community,Landscape Garden",2,Not found,Not found,Not found,9,None,4 cents~5.3 cents
r417592,TRINETRA Silvernest,SIDDHI DEVELOPERS,"TRINETRA SILVERNEST,
NR. UMA VIDHYALAYA ROAD, TARSALI,  VADODARA",Residential - Apartments,"Earthquake Resistant,Vastu Compliant,Private Gardens/Balconies,Temple,Landscape Garden,Car Parking,Club House,Children's Play Area,24x7 Security,Rain Water Harvesting,Jogging Track,Gated Community,Internal Street Lights,Fire Fighting Systems,Open Space",16,Not found,Not found,Not found,166,"2 BHK,3 BHK,3 BHK PENTHOUSE",187.00~1050.7 sq.ft
r417990,Madhuban,Gajra Associates & Avenue Realty,"Near KBH Dental college, Panchavati , Nashik - 3","Residential - Apartments, Commercial - Retail spaces","Earthquake Resistant,Lift(s),Car Parking,24/7 Power Backup",4,P51600053205,Not found,Not found,92,"2BHK,3BHK,1BHK",None
r418147,Sweven By Signature,Signature Group,"Sweven By Signature, Shreeji Realty, 100 Ft. Road, B/h Madhubhan28, Off S.G. Highway, Chharodi, Ahmedabad - 382481",Residential - Apartments,"Gated Community,Society Office,Creche/Day care,Gymnasium,Yoga/Meditation Area,Landscape Garden,Children's Play Area,Jogging Track,Indoor Games,Car Parking,24/7 Power Backup,Lift(s),Banquet Hall,Gazebo,Swimming Pool,CCTV Camera Security,Security Cabin,Fire Fighting Systems",18,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA12493/171023,Not found,Not found,Not found,"3 BHK,4 BHK",None
r418370,IRA Towers,V4 Ventures,"ASR Nagar, Nizampet, Hyderabad - 500 090, Telangana State",Residential - Apartments,"Gated Community,Club House,Children's Play Area,Badminton Court,Gymnasium,Swimming Pool,Banquet Hall,Spa,Indoor Games,Car Parking,Sewage Treatment Plant,Vaastu Compliant,Jogging Track,24x7 Security,Piped Gas,Rain Water Harvesting,Amphitheatre",18,P02200007156,3 Acres,4,350,"2 BHK,3 BHK",1095~1570 sq.ft
r418400,RLD TRIPTI,Royal Land Developer,"Royal Avalon, Rampoorna Nagar, Athipet, Chennai, Tamil Nadu - 600058",Residential - Apartments,"Gated Community,Vastu Compliant,Solar Panel,Lift(s),24/7 Security",5,TN/ 29 / Building / 0426 / 2023,Not found,Not found,15,2 BHK,885~1025 sq.ft
r418564,Prarthana,Argent Infrabuild Pvt. Ltd.,"160 Grand Trunk Road, Shibpur, Howrah 711 102",Residential - Apartments,"Earthquake Resistant,Temple,Community Hall,Swimming Pool,Children's Play Area,24x7 Security,Gated Community,Gymnasium,Party Lawn,Lift(s),Sewage Treatment Plant,24/7 Water Supply,Water Treatment Plant",14,WBRERA/P/HOW/2023/000749,Not found,2,Not found,None,None
r418731,Gulmohar Villa,NATRAJ BUILDERS & DEVELOPERS,"Sr. No. 1450, Near Rohan Abhilasha Township, Wagholi, Pune - 412105",Residential - NA gated plots,"Gated Community,Internal Street Lights,Landscape Garden,Manicured Garden,Gazebo,Park,Children's Play Area",7,Not found,13 acres,Not found,Not found,None,None
r418865,49 Simandhar Royale,Simandhar Homes,"49, Simandhar Royalé, Subhash Nagar, Chembur, Mumbai 400071",Residential - Apartments,"Society Office,Community Hall,Gymnasium,Children's Play Area,Jogging Track,Car Parking",6,P51800053382,Not found,Not found,Not found,"1BHK,2BHK,3BHK,3.5BHK,4.5BHK",None
r419388,Meluha,CR Realty,"Shivdham Complex, Goregaon East, Mumbai, Maharashtra 400097",Residential - Apartments,"Gymnasium,Children's Play Area,Swimming Pool,Amphitheatre,Business Lounge,Co-Working Spaces,Jogging Track,Indoor Games,Multipurpose Hall,Yoga/Meditation Area",10,P51800053441,Not found,Not found,Not found,"2BHK,3BHK",673~798 sq.ft
r41958,Aurum Arts,Aurum RealEstate,"Dr Annie Besant Road, Worli, Mumbai 400018",Residential - Apartments,"Swimming Pool,Library,Community Hall,Gymnasium,Barbecue,Lounge,Car Parking,Children's Play Area",8,P51900005771,"16,000 sq ft",1,11,None,None
r420277,Canvas,VALUE HOMES,"MG Road, Beside 3 inch Durga Bari,
Krishnanagar, Nadia 741101",Residential - Apartments,"Gated Community,Community Hall,Gymnasium,Swimming Pool,Power Back up,Badminton Court,Cafeteria,School,Medical Centre",10,WBRERA/P/NAD/2023/000872,Not found,Not found,Not found,"1BHK,2BHK,3BHK",267~1156 sq.ft
r421112,PRIME RESIDENCY,Not found,"DCM, Ajmer Road, Jaipur-302021",Residential - Apartments,"Earthquake Resistant,Gymnasium,Swimming Pool,Children's Play Area,Indoor Games,Carrom,Chess,Table Tennis,Yoga/Meditation Area,Rain Water Harvesting,Intercom,24/7 Water Supply",12,RAJ/P/2023/2834,Not found,Not found,46,"STUDIO,2 BHK,3 BHK",355~959 sq.ft
r421317,First City,Nagpur Integrated Township Private Limited (NITPL),"Plot No.2, Sector 21, De-Notified SEZ Area, MIHAN, Near W-Building, Nagpur Rural - 441108 Maharashtra",Residential,"Gated Community,Children's Play Area,Sand Pit,Swimming Pool,Club House,Multi Purpose Hall,Gymnasium,Jacuzzi,Sauna,Steam Room,Table Tennis,Billiards,Badminton Court,Squash Court,Car Parking,Landscape Garden,Park,Party Lawn,Zen Garden,Yoga/Meditation Area,24x7 Security,Anti-termite Treatment",22,P50500049468,31 acres,6,690,"2 BHK,2.5 BHK,3 BHK,3.5 BHK",849~1417 sq. ft.
r421610,ARUDRA,Avantika Constructions,"Bandlaguda Jagir, Hyderabad, Telangana",Residential - Apartments,"Vastu Compliant,24/7 Power Backup,Intercom",3,P02400007457,Not found,Not found,Not found,"2BHK,3BHK",1235~1545 sq ft
r421781,Deccan Kalpavriksha,Deccan Estates Private Limited,"TNHB 80 Feet Road,
Sholinganallur, Chennai -600119.",Residential - Apartments,"Gym,Jogging Track,Children's Play Area,Yoga/Meditation Area,Indoor Games,Home Theater,Multi Purpose Hall,Library",8,TN/29/BUILDING/0499/2023,2.15 acres,Not found,166,"1 BHK,2 BHK,3 BHK",490~1333 sq.ft
r421844,Atharva Sapphire Towers,Atharva Infraventures,"Chinchbhavan, Wardha Road, Nagpur - 441108",Residential - Apartments,"Earthquake Resistant,Gymnasium,Yoga/Meditation Area,Landscape Garden,Children's Play Area,Swimming Pool,Multipurpose Hall,Car Parking,CCTV Camera Security,Lift(s),Co-Working Spaces,Gated Community,Paved Compound,Indoor Games,Intercom,Carrom,Chess",17,P50500054272,Not found,2,222,"2BHK,3BHK",7.210~112.550 Sqm
r422091,SIGMA TOWN,Not found,Ring Road Barela,Residential - Townhouses,"Club House,Rain Water Harvesting,Sewage Treatment Plant,Jogging Track,Underground Electric Cabling",5,Not found,100 Acres,Not found,Not found,None,None
r422129,Parth Elegance,PARTH SARTHI INDUSTRIES,"Plot No.11, Panchvati Colony, Jagatpura, Jaipur 302017",Residential - Apartments,"CCTV Camera Security,Children's Play Area,Gymnasium,Intercom,Library,Car Parking,Rooftop Lounge,Temple,Fire Fighting Systems,Yoga/Meditation Area,Lift(s)",11,RAJ/P/2024/2928,Not found,Not found,Not found,"3BHK,4BHK",1717.65~1984.41 sq.ft
r422460,Royal Shelter - Royal Radiant,ROYAL SHELTER,"Vayalur Road, UKT Malai, Trichy
(Adjacent to mount Litera Zee School)",Residential,"Temple,Car Parking,Gated Community",3,Not found,Not found,Not found,Not found,"2BHK,3BHK,Penthouses",860~2114 sq.ft
r422463,Royal Windgates,Royal Shelter,"Off SBIO/Raja Colony, Cantonment, Trichy.",Residential - Apartments,"Lift(s),24/7 Power Backup",2,Not found,Not found,Not found,Not found,"4BHK,3BHK,2BHK",849~2039 sq.ft
r422913,The Peak,SRIRAM BUILDERS,"No.10, Thattankulam Main Road, Madhavaram, Chennai - 600 060",Residential - Apartments,"Car Parking,Children's Play Area,Indoor Games,Rain Water Harvesting,Security Cabin",5,Not found,Not found,1,33,"2BHK,3BHK",935~1229 Sqft
r422996,IDENTITY URBAN VILLAGE,PAVALIUS,"OTTAKALI ROAD, EDACHIRA, KAKKANAD, KERALA 682030",Residential - Villas,"Gated Community,Private Gardens/Balconies,Creche/Day care,Gymnasium,Jacuzzi,Spa,Yoga/Meditation Area,Landscape Garden,Manicured Garden,Gazebo,Barbecue,Amphitheatre,Mini Theatre,Indoor Games,Club House,Children's Play Area,Swimming Pool,CCTV Camera Security,24x7 Security,Intercom Facilities,EV Charging Stations,Car Parking,Library,Co-Working Spaces,Jogging Track,Sauna,Rain Water Harvesting,Power Back up Lift",29,K-PERA/PRJ/ERN/02B/2024,4 acres,Not found,46,"4 BHK,5 BHK",2650~4031 sq ft
r423008,KVR Sarvan Nivas,KVR Estates,"Vizianagaram, Andhra Pradesh",Residential - Open Plots,"Gated Community,Club House,Swimming Pool,Children's Play Area,24x7 Security",5,Not found,Not found,Not found,Not found,None,167~200 Sq.Yrd
r423055,Aranya,Karmaa,Lonavala,Residential - Villas,"Gated Community,Earthquake Resistant,Gymnasium,Landscape Garden,Children's Play Area,Swimming Pool,Multipurpose Court,Jogging Track,Amphitheatre,24x7 Security,Club House,Meditation Zone/ Zen Garden",12,Not found,7 Acre,Not found,60,"2BHK,3BHK,4BHK,5BHK",None
r423231,Roma Entertainment City,Roma Builders & Promoters Pvt Ltd,"Near Amra Crossing, Adjacent to D.P.S. Varanasi",Residential - Apartments,"Earthquake Resistant,Gymnasium,Jacuzzi,Sauna,Swimming Pool,Anti-termite Treatment,Fire Fighting Systems,24x7 Security,Terrace Garden,Party Lawn,Amphitheatre,Car Parking,Children's Play Area,Society Office,Rain Water Harvesting,Sewage Treatment Plant,Badminton Court",17,UPRERAPRJ923240/02/2024,Not found,Not found,Not found,"2BHK,3BHK,4 BHK,Penthouses,Duplex",698.58~2989.26 sqft
r423398,Saptashree Galicia,SaptaShree Reality Pvt. Ltd.,"Saptashree Galicia, Next to Padmavati Temple, Near Kia Motors Service Centre, Kolshet Road, Thane (W) 400 607.",Residential cum Commercial Tower,"Earthquake Resistant,Solar Water Heating,Children's Play Area,Car Parking,Intercom,24x7 Security,Private Gardens/Balconies,Society Office,Gymnasium",9,P51700054273,Not found,Not found,Not found,"2 BHK,1 BHK",140~624 sq.ft
r423588,KAVYA SHRUSHTI,AJMERI BUILDERS AND DEVELOPERS,"Avadh Complex Bhilding No. A1 ,Shop No.9 & 10 , Near Datta Mandir ,Kasheli Toll Plaza, Kasheli ,Bhiwandi , Thane - 421302",Residential - Apartments,"Temple,Car Parking,Club House,Jogging Track,Lift(s)",5,Not found,Not found,Not found,Not found,None,None
r424226,ANAD VIVANTA ROYAL RESIDENCES,SHRI BANKEY BIHARI ASSOCIATES LLP,"HARIDWAR ROAD, NEAR KAILASH HOSPITAL, DEHRADUN, UTTARAKHAND",Residential - Apartments,"Temple,Swimming Pool,Community Hall,Indoor Games,CCTV Camera Security,Intercom",6,Not found,Not found,Not found,Not found,"2 BHK,3 BHK,2.5 BHK",1092~3035 sq. ft
r424292,UTKAL iSQUARE Smart Homes in Patia,UTKAL BUILDERS,"Patia Square, Nandan Kanan Road, Besides Pantaloons
Bhubaneswar 751024",Residential - Apartments,"Gated Community,Well-Maintained Internal Roads,Landscape Garden,Park,Children's Play Area,Swimming Pool,Club House,Banquet Hall,CCTV Camera Security,24x7 Security,Video Door Security,Lift(s),Entrance Lobby,Intercom,ATM,Maintenance Staff,DG Availability,24/7 Water Supply,Sewage Treatment Plant,Rain Water Harvesting,Fire Fighting Systems,Gymnasium,Car Parking,Paved Compound,Multipurpose Court,Community Hall,Carrom,Chess,Dart Board,Table Tennis,Badminton Court,Indoor Games,24/7 Power Backup,STP,Video door phone,Water Treatment Plant,Multipurpose Court",38,MP/19/2024/01120,Not found,Not found,Not found,"2BHK,3BHK,4 BHK Penthouse",1602~2250 sq.ft
r424523,SHANKHESHWAR PRIVIA,SHANKHESHWAR GROUP OF COMPANIES,"Shankheshwar Priva, Adharwadi Rd., Kolivali, Kalyan (W) - 421301.",Residential - Apartments,"Gated Community,Solar Panel,Vastu Compliant,Entrance Lobby,Amphitheatre,Gymnasium",6,PS1700054835,Not found,Not found,160,"1BHK,1.5BHK,2BHK,2.5BHK",None
r424750,Gawade Galore,Gawade Lifespace,"Tathawade, Pune, Maharashtra",Residential - Apartments,"Vastu Compliant,Earthquake Resistant,Children's Play Area,Creche/Day care,Gymnasium,Sit Out Area",6,P52100054930,Not found,1,Not found,"2BHK,3BHK",756.73~1033.02 sq.ft
r424756,Not found,Global Group,"Hinjawadi Phase 2, Hinjawadi, Pune",Residential - Apartments,"Yoga/Meditation Area,Swimming Pool,Jogging Track,Table Tennis,Cycling Track,Gymnasium,Cricket Pitch,Basketball Court,EV Charging Stations,Car Wash Area,Home Theatre,Children's Play Area,Library,Multi-purpose Hall,Pets Park,Solar Panel,Amphitheatre",17,Not found,3 acres,2,340,"2BHK,3BHK",560~1040 sq. ft
r424978,INSPIRA Infinity,INSPIRA BUILDERS,"Carmellaram Road, Off Sarjapur - Marathahalli Rd, Janatha Colony, Doddakannelli, Bengaluru - 560035",Residential - Apartments,"Earthquake Resistant,Internal Street Lights,Vastu Compliant,Landscape Garden,Amphitheatre,Basketball Court,Cycling Track,Jogging Track,Security Cabin,Rock Climbing Wall,Sand Pit,Children's Play Area,Indoor Games,Swimming Pool,Gymnasium,Billiards,Car Parking,Intercom Facilities,24/7 Water Supply,CCTV Camera Security",20,PRM/KA/RERA/1251/446/PR/060324/006675,1.13 Acres,Not found,105,"2 BHK,3 BHK",1279.38~1704.92 sqft
r425014,Disha Swarajya,Disha Group,"Gut No. 48, Near CIDCO N-4, Garkheda Parisar, Chhatrapati Sambhajinagar",Residential - Apartments,"Gated Community,Temple,Children's Play Area,Swimming Pool,Jogging Track,Gymnasium,Pool Table,Table Tennis,Basketball Court,Football Ground,Lawn Tennis Court,Open Space",12,Not found,9 ???,Not found,500+,"1BHK,2BHK,3BHK",None
r425080,Shivanta Skyview,S V DEVELOPERS,"Shivanta Skyview - Near Satv Heights,
Beside The Space, Opp. Signet Plaza, Kunal Crossing,
Gotri, Vadodara 390021",Residential - Apartments,"Anti-termite Treatment,Earthquake Resistant,Internal Street Lights,Car Parking,Children's Play Area,Lift(s),24/7 Water Supply,Rain Water Harvesting,Gymnasium,Multi Purpose Hall,Indoor Games,Barbecue",13,Not found,Not found,Not found,50,3BHK,225.61~1843.60 sq.ft
r425136,Godrej Gold Slate Estate,Godrej Properties,"Khopoli, Khalapur Taluka of Raigad District, Maharashtra",Residential - Villas,"Gated Community,Swimming Pool,Open Space",3,P52000054914,Not found,Not found,Not found,None,None
r425212,Shri Siddheshwar Hollyhock,Nyalkaran Group,"Opp. Darshanam Club Life, Gorwa Ankodiya Road, New Gotri, Vadodara","Commercial - Retail spaces, Residential - Apartments, Residential - Penthouses","Earthquake Resistant,Gated Community,Internal Street Lights,Vastu Compliant,Car Parking,Club House,Children's Play Area,Swimming Pool,Indoor Games,24x7 Security,Lift(s),24/7 Power Backup,Landscape Garden,Gymnasium,Library,Pool Table,Rain Water Harvesting",18,Not found,"56,50,000+ Sq.Ft. Area",Not found,150,"3BHK,4BHK,Penthouses,Shops",None
r425271,Shree Siddheshwar Hometown,ASHIRWAD BUILDERS,"Shree Siddheshwar Hometown,
N.H-8 Road Touch, Nr. Kapurai Chowkdi,
Dabhoi Road, Kapurai, Vadodara.",Commercial - Retail spaces,"Earthquake Resistant,Rain Water Harvesting,24x7 Security,Car Parking,Children's Play Area,Club House,Gymnasium,Indoor Games,Jogging Track,Landscape Garden,Library,Multi Purpose Hall,Swimming Pool,Vaastu Compliant,Fire Fighting Systems,Gated Community,Internal Street Lights,Security Cabin,DG Availability",19,Not found,Not found,Not found,Not found,"2BHK,3BHK",695.00~986.00 sq.ft
r425318,Okay PLUS EMERALD SUITES,Okay PLUS BUILDERS & DEVELOPERS,"Plot No.196, 197, 198 & 199, Nemi Nagar Ext. Vaishali Nagar, Jaipur, Rajasthan 302001",Residential - Apartments,"Earthquake Resistant,Rain Water Harvesting,Vastu Compliant,Swimming Pool,Yoga/Meditation Area,Lift(s),CCTV Camera Security,Gated Community,Open Space",9,RAJ/P/2024/3018,Not found,Not found,Not found,Studio Apartments,271.42~660.97 sq.ft
r425504,BODHI TREE,VR INFRA DEVELOPERS,Located On Bengaluru-Tirupathi HWY - NH-75 Diagonally Opposite Volvo Manufacturing Hub,Residential - Plotted Development,"Gated Community,Internal Street Lights,Temple,Community Hall,Pet Park,Cricket Pitch,Yoga/Meditation Area,Gymnasium,Landscape Garden,Manicured Garden,Park,EV Charging Stations,Club House,Children's Play Area,Sand Pit,Swimming Pool,Party Lawn,Barbecue,Jogging Track,Card Room,Indoor Games,CCTV Camera Security,24x7 Security,Intercom Facilities,Lift(s),24/7 Power Backup,Rain Water Harvesting",27,EX/PRM/KA/RERA/1250/304/PR/250315/006723,7 Acres & 9 Guntas,Not found,109,None,1200~3500 Sq ft
r425736,Sukan Flora,"Rakholiya Construction, Builders & Developers","P. No.3+4+5, S.No.314, Damodhar Chouk, Pathardi Shiwar, Nashik.",Residential - Apartments,Lift(s),1,Not found,Not found,Not found,Not found,2BHK,None
r426002,Grande Meadows,MAYON'S,"Karuvalur Main Road, Adjacent Rathinam Tips College, Kovilpalayam",Residential - Plots,"Gated Community,Amphitheatre,Gazebo,Children's Play Area,24x7 Security",5,Not found,Not found,Not found,Not found,None,562~2108 sq.ft
r426131,Shree Siddheshwar Holyland,Nyalkaran Group,"Nr. Premdarshan, Opp. Bansal Mall, Sama Savli Road, Vadodara.","Residential - Apartments, Residential - Penthouses, Commercial - Retail spaces","Earthquake Resistant,Gated Community,Internal Street Lights,Vastu Compliant,Children's Play Area,Swimming Pool,Jogging Track,Club House,Landscape Garden,Car Parking,24x7 Security",12,Not found,Not found,Not found,Not found,"3BHK,Penthouses,Shops",474~1168 sq.ft
r426492,KAMAXI AVENUE II,SHIVALAY ENTERPRISE,"Opp. Shubham Elite, Beside Delhi Public School,
Motnath Mahadev Temple Road,
HARINI, Vadodara - 390022",Residential - Apartments,"Anti-termite Treatment,Gated Community,Car Parking,Club House,Children's Play Area,Senior Citizen Sitout,Amphitheatre,Jogging Track,Swimming Pool,Co-Working Spaces,Gymnasium,Skating Rink,Video Door Security,Solar Panel",14,Not found,Not found,Not found,Not found,"3BHK,4BHK,5B2HK",None
r426553,Gulmohar Heights,Chordia's,"Plot No. GH-4, Indraprastha, Chordia City, Ajmer Road, Jaipur, Rajasthan",Residential - Apartments,"Earthquake Resistant,Society Office,Temple,Co-Working Spaces,Yoga/Meditation Area,Spa,Sauna,Gymnasium,Landscape Garden,Terrace Garden,Park,Club House,Children's Play Area,Swimming Pool,Theatre,Banquet Hall,Lounge,Waiting Lounge,24x7 Security",20,RAJ/P/2024/3068,Not found,Not found,Not found,"3 BHK,4 BHK",1211.00~1683.85 sq. ft.
r426624,Shree Siddheshwar Highline,Nyalakaran Group,"Nr.pushpam Tenament, Opp. Baroda Football Academy
Gotri Laxmipura Road, Gotri.","Residential - Apartments, Commercial - Retail spaces","Gated Community,Landscape Garden,Sit Out Area,Children's Play Area,Jogging Track,Swimming Pool,Kids Pool,Deck Area,Club House,Multipurpose Hall,Game Room,Underground Cabling for Wire-free Campus,Car Parking",14,Not found,Not found,Not found,Not found,3BHK,1255~1293 sq.ft
r426626,Kesar 9,Kesar Group,"‘Kesar 9’, Near Kesar 45
Kapurai TP 42, FP 168,
Beside Canal,
Kapurai Crossing to Dabhoi,
Vadodara - 390 004,
Gujarat (INDIA)",Residential - Villas,"Temple,Club House,Children's Play Area,Jogging Track,Basketball Court,Badminton Court,Indoor Games",7,Not found,Not found,Not found,41,3 BHK,466.00~580.00 sq.ft
